Moisture,CDS,Humidity,Temperature
517,48,62,29
513,48,62,29
512,49,62,29
513,49,62,29
513,49,61,29
510,50,61,29
513,50,61,29
511,50,61,29
505,50,61,29
518,51,62,29
512,51,62,29
508,51,62,29
509,51,62,29
515,51,61,29
510,51,61,29
511,51,61,29
507,51,61,29
510,50,61,29
512,49,61,29
504,49,61,29
519,49,61,29
506,49,61,29
510,49,60,29
503,52,60,29
514,51,60,29
512,51,61,29
513,52,61,29
508,52,62,29
509,52,62,29
510,52,62,29
509,51,62,29
507,50,63,29
507,52,63,29
507,52,63,29
504,51,63,29
504,52,63,29
505,50,63,29
508,50,62,29
508,54,62,29
508,52,62,29
505,51,62,29
503,51,63,29
500,51,63,29
501,51,63,29
503,52,63,29
505,54,62,29
507,55,62,29
504,55,62,29
506,55,63,29
507,54,63,29
506,55,63,29
506,54,63,29
508,53,63,29
505,53,62,29
511,52,62,29
510,52,62,29
514,51,62,29
511,52,62,29
509,52,63,29
512,52,63,29
504,52,63,29
514,53,64,29
510,53,64,29
505,53,64,29
511,53,63,29
507,53,63,29
506,53,63,29
505,53,63,29
512,53,63,29
514,53,63,29
511,52,63,29
501,51,63,29
511,51,64,29
510,50,64,29
509,49,64,29
507,48,64,29
512,48,64,29
509,49,64,29
509,50,64,29
515,50,65,29
516,51,65,29
508,50,65,29
508,50,64,29
512,50,64,29
516,49,64,29
510,48,64,29
508,47,64,29
509,47,64,29
509,47,65,29
510,47,65,29
510,47,65,30
511,47,65,30
506,47,65,30
511,48,65,30
509,48,65,30
509,48,64,30
506,49,64,30
511,49,64,30
504,49,64,30
512,49,64,30
515,49,64,30
506,51,64,30
508,52,65,30
510,52,65,30
508,52,65,30
508,52,65,30
503,52,65,30
505,52,65,30
514,49,65,30
506,50,65,30
509,50,65,30
508,49,65,30
509,49,65,30
511,48,65,30
508,48,65,30
508,48,65,30
512,47,65,30
511,47,65,30
509,48,65,30
502,48,65,30
506,48,65,30
505,48,65,30
505,48,65,30
506,48,65,30
508,48,64,30
508,48,64,30
510,48,64,30
505,49,64,30
508,49,64,30
509,49,64,30
511,50,64,30
510,50,64,30
508,50,64,30
501,50,64,30
504,50,64,30
501,50,64,30
510,51,64,30
502,51,64,30
503,51,64,30
510,51,64,30
500,50,64,30
504,51,64,30
502,51,64,30
505,51,64,30
497,51,64,30
501,51,64,30
508,51,64,30
504,51,64,30
502,50,64,30
509,50,64,30
509,51,64,30
503,50,64,30
507,50,64,30
506,51,64,30
505,51,64,30
502,51,64,30
503,50,64,30
498,49,64,30
500,49,64,30
507,49,65,30
505,49,65,30
500,49,65,30
501,50,65,30
501,50,65,30
501,50,65,30
508,51,65,30
498,51,65,30
493,51,65,30
503,51,65,30
508,51,65,30
496,52,65,30
500,52,65,30
499,52,65,30
499,52,65,30
503,52,65,30
500,52,65,30
504,52,65,30
499,52,65,30
500,52,64,30
502,52,64,30
502,51,64,30
503,51,64,30
507,51,64,30
501,51,64,30
494,51,64,30
496,51,65,30
496,51,65,30
501,51,65,30
499,51,65,30
497,51,65,30
499,52,65,30
502,51,65,30
499,52,65,30
503,52,65,30
502,52,65,30
500,51,65,30
499,52,64,30
499,53,64,30
497,52,64,30
504,54,64,30
495,54,64,30
503,54,64,30
500,54,64,30
499,54,65,30
502,53,65,30
501,53,64,30
498,53,65,30
499,52,65,30
499,52,65,30
500,52,65,30
505,52,65,30
500,52,65,30
493,53,65,30
504,52,65,30
496,53,65,30
495,52,65,30
503,52,65,30
499,50,65,30
500,49,65,30
500,49,65,30
498,48,65,30
501,49,65,30
500,49,65,30
503,51,65,30
499,50,65,30
498,49,65,30
489,49,65,30
497,49,65,30
497,49,65,30
497,50,65,30
489,49,65,30
494,50,65,30
487,50,65,30
492,50,65,30
501,51,65,30
495,52,65,30
497,52,65,30
501,52,65,30
500,52,65,30
494,50,65,30
498,50,65,30
492,51,65,30
497,52,65,30
498,52,65,30
497,53,65,30
498,52,65,30
496,53,65,30
490,53,65,30
497,54,65,30
504,54,65,30
496,54,65,30
498,54,65,30
497,54,65,30
495,54,65,30
497,54,65,30
495,55,65,30
496,55,65,30
498,55,65,30
499,55,65,30
488,55,65,30
490,55,65,30
505,55,65,30
499,55,65,30
494,55,65,30
494,54,65,30
500,54,65,30
499,53,65,30
494,52,65,30
496,51,65,30
493,50,65,30
494,50,65,30
490,50,65,30
491,51,65,30
497,51,65,30
494,50,65,30
498,50,65,30
492,50,65,30
494,50,65,30
489,50,65,30
493,50,65,30
486,50,65,30
496,50,65,30
503,50,65,30
494,50,65,30
494,49,65,30
488,49,65,30
488,49,65,30
486,49,65,30
482,48,65,30
492,48,65,30
493,48,65,30
489,50,65,30
490,50,65,30
491,49,65,30
493,49,65,30
491,50,65,30
488,50,65,30
487,51,65,30
489,53,65,30
486,53,65,30
488,53,65,30
480,54,65,30
492,53,65,30
486,54,65,30
493,54,65,30
486,54,65,30
486,53,65,30
489,54,65,30
488,53,65,30
486,53,65,30
480,53,66,30
489,52,65,30
487,52,65,30
487,52,66,30
488,52,65,30
486,51,65,30
486,51,65,30
488,51,65,30
494,51,65,30
496,52,65,30
489,52,65,30
495,52,65,30
489,53,65,30
484,53,66,30
488,53,65,30
487,54,65,30
482,53,65,30
479,54,65,30
488,53,65,30
487,53,65,30
493,51,65,30
488,50,65,30
492,49,65,30
493,49,65,30
492,49,65,30
491,49,65,30
491,48,65,30
492,49,65,30
492,48,65,30
498,48,65,30
492,48,65,30
495,48,65,30
494,48,65,30
490,49,65,30
486,48,65,30
491,48,65,30
493,48,65,30
487,48,65,30
493,47,65,30
490,46,65,30
490,45,65,30
490,46,65,30
491,46,65,30
495,46,65,30
487,47,65,30
493,47,65,30
488,47,65,30
485,47,65,30
491,47,65,30
487,48,65,30
487,48,65,30
493,48,65,30
480,49,65,30
493,49,65,30
486,49,65,30
484,49,65,30
486,50,65,30
486,50,65,30
485,50,65,30
488,50,65,30
489,50,65,30
490,50,65,30
485,51,65,30
480,50,65,30
488,51,65,30
486,51,65,30
485,51,65,30
478,51,65,30
476,51,64,30
483,51,64,30
484,50,64,30
489,50,64,30
491,50,64,30
487,50,64,30
484,50,64,30
477,51,64,30
480,51,64,30
481,50,65,30
483,51,65,30
478,53,65,30
479,53,65,30
486,54,65,30
483,54,65,30
485,54,65,30
475,55,65,30
483,55,65,30
477,56,65,30
482,56,65,30
483,56,65,30
478,57,65,30
486,57,65,30
474,57,65,30
481,58,65,30
483,58,65,30
481,59,65,30
482,59,65,30
477,59,65,30
479,60,65,30
482,60,65,30
479,60,65,30
483,61,65,30
487,61,65,30
486,61,65,30
487,61,65,30
486,61,65,30
479,61,65,30
486,60,65,30
486,60,65,30
481,60,65,30
483,59,65,30
487,59,65,30
484,58,65,30
486,58,65,30
473,58,65,30
487,57,65,30
479,56,65,30
477,55,65,30
483,55,65,30
478,54,65,30
480,54,65,30
480,53,65,30
480,52,65,30
489,52,65,30
482,51,65,30
476,51,65,30
485,51,65,30
478,50,65,30
473,50,65,30
479,49,65,30
479,49,65,30
479,49,65,30
477,50,65,30
477,49,65,30
476,50,65,30
478,49,65,30
484,49,65,30
480,48,65,30
477,48,65,30
480,49,65,30
481,49,65,30
476,49,65,30
480,49,65,30
484,50,65,30
478,51,65,30
481,51,65,30
485,51,65,30
479,51,65,30
477,51,65,30
486,51,65,30
482,51,64,30
483,50,64,30
476,50,64,30
479,50,64,30
477,50,64,30
482,50,64,30
483,50,64,30
484,51,64,30
484,51,64,30
484,51,64,30
486,51,64,30
489,52,64,30
481,52,64,30
479,52,64,30
493,52,64,30
482,52,64,30
483,52,64,30
486,52,65,30
484,52,65,30
481,52,65,30
477,52,65,30
482,52,64,30
483,52,64,30
483,52,64,30
483,53,64,30
474,53,64,30
480,53,64,30
487,53,64,30
483,52,64,30
482,53,64,30
482,52,64,30
485,53,64,30
480,52,64,30
479,52,64,30
477,53,64,30
475,53,64,30
477,53,64,30
480,53,64,30
480,53,64,30
480,53,64,30
479,53,64,30
481,53,64,30
480,53,64,30
477,53,64,30
481,53,64,30
477,53,64,30
480,53,64,30
480,53,64,30
480,53,64,30
482,53,64,30
480,53,64,30
482,53,64,30
482,53,64,30
489,53,64,30
483,54,64,30
481,53,64,30
479,53,64,30
485,52,64,30
480,53,64,30
491,53,64,30
482,53,64,30
479,53,64,30
482,53,64,30
487,53,64,30
483,54,64,30
483,54,64,30
488,54,64,30
485,54,64,30
481,54,64,30
479,55,64,30
489,54,64,30
481,55,64,30
484,55,64,30
487,55,64,30
484,56,64,30
486,55,64,30
481,55,64,30
491,55,64,30
479,55,64,30
491,56,64,30
476,56,64,30
487,56,64,30
482,56,64,30
485,56,64,30
483,56,64,30
484,56,64,30
482,56,64,30
477,56,63,30
481,55,63,30
483,55,63,30
481,55,63,30
480,55,63,30
484,56,63,30
491,56,63,30
481,56,64,30
489,56,64,30
488,56,64,30
488,56,64,30
486,57,64,30
480,57,64,30
496,57,65,30
482,57,65,30
490,58,64,30
484,58,64,30
483,58,64,30
484,58,64,30
483,58,64,30
485,59,64,30
489,59,64,30
484,59,64,30
483,59,64,30
483,58,64,30
484,58,64,30
485,58,64,30
483,58,64,30
482,57,64,30
483,57,64,30
480,56,64,30
476,55,64,30
477,55,64,30
483,55,64,30
485,55,64,30
482,55,64,30
481,55,64,30
485,55,64,30
484,54,64,30
476,55,65,30
489,54,65,30
481,55,65,30
479,54,64,30
484,54,65,30
479,54,65,30
477,54,65,30
470,53,65,30
474,54,64,30
477,53,64,30
482,53,65,30
480,53,65,30
477,54,64,30
488,53,64,30
479,53,64,30
478,53,64,30
487,53,64,30
480,53,64,30
475,53,65,30
480,53,65,30
482,53,65,30
477,53,65,30
480,53,65,30
479,52,65,30
478,52,65,30
472,53,65,30
470,52,64,30
480,52,64,30
479,52,64,30
480,52,64,30
480,52,64,30
482,52,64,30
478,52,64,30
475,53,64,30
476,53,64,30
482,52,64,30
481,53,64,30
481,53,64,30
479,53,64,30
473,53,64,30
478,53,64,30
479,53,64,30
477,53,64,30
476,53,64,30
481,53,64,30
476,53,64,30
478,53,64,30
483,53,64,30
483,53,64,30
487,53,64,30
482,53,65,30
482,53,65,30
484,53,65,30
483,53,65,30
483,53,64,30
483,53,64,30
483,52,64,30
482,52,64,30
484,52,64,30
482,52,64,30
480,52,65,30
479,52,65,30
478,52,64,30
477,52,64,30
480,52,64,30
487,51,64,30
479,51,64,30
480,51,64,30
483,51,64,30
484,51,64,30
477,52,64,30
482,52,64,30
485,52,64,30
485,51,64,30
478,51,64,30
485,51,64,30
487,52,64,30
476,51,64,30
479,51,64,30
476,51,64,30
478,51,64,30
475,51,64,30
478,51,64,30
476,50,64,30
479,51,64,30
475,51,63,30
484,51,63,30
476,51,63,30
477,51,63,30
482,50,63,30
473,51,63,30
484,51,63,30
470,51,63,30
477,51,63,30
477,51,63,30
476,51,63,30
481,51,63,30
471,51,63,30
483,51,63,30
480,51,63,30
477,52,63,30
483,51,63,30
471,51,63,30
482,51,63,30
472,51,63,30
485,51,63,30
474,52,63,30
481,52,63,30
476,52,63,30
482,52,63,30
477,53,63,30
483,53,63,30
481,54,63,30
474,54,63,30
477,54,63,30
481,55,63,30
475,55,63,30
483,55,63,30
473,55,63,30
479,56,63,30
479,56,63,30
477,56,63,30
476,57,63,30
477,57,63,30
469,58,63,30
477,58,63,30
478,58,63,30
478,58,63,30
470,59,63,30
475,59,63,30
478,60,63,30
477,61,63,30
478,62,63,30
481,62,63,31
480,62,63,30
478,63,63,30
478,62,63,31
472,62,63,31
477,62,63,30
476,64,62,30
481,66,62,30
475,67,62,30
474,67,62,30
478,68,62,30
477,68,62,30
478,68,62,30
476,68,63,30
477,67,63,30
474,65,63,30
476,64,63,30
478,63,63,31
482,62,63,31
489,62,63,31
476,62,63,31
469,61,63,31
476,61,63,31
481,61,63,31
478,60,63,31
481,61,63,31
488,61,62,31
483,60,62,31
481,60,62,31
476,60,62,31
477,61,62,31
481,60,62,31
479,60,62,31
479,60,62,31
476,60,62,31
478,60,62,31
479,61,62,31
478,61,62,31
484,61,62,31
473,63,62,31
479,64,62,31
484,63,62,31
480,61,62,31
480,60,61,31
476,60,61,31
475,60,61,30
475,60,61,30
470,59,61,30
476,59,61,30
477,59,61,30
476,60,62,30
464,59,62,30
470,60,62,30
479,60,62,30
475,61,62,30
477,60,62,30
476,62,62,30
475,63,62,30
476,64,62,30
480,63,63,30
475,63,63,30
470,64,63,30
476,64,63,30
477,64,63,30
474,64,63,30
477,64,63,30
475,64,63,30
478,64,63,30
474,64,63,30
478,62,63,30
475,63,63,30
475,61,63,30
472,59,63,30
471,59,63,30
463,57,63,30
473,57,63,30
474,57,63,30
475,57,62,30
474,56,62,30
472,56,62,30
467,56,62,30
474,56,62,30
473,57,62,30
477,58,61,30
464,58,61,30
475,58,61,30
469,59,61,30
472,59,61,30
464,59,61,30
475,59,61,30
470,60,61,30
471,60,61,30
469,60,61,30
471,61,61,30
471,62,61,30
466,62,61,30
471,62,62,30
472,61,62,30
467,61,62,30
471,60,62,31
470,60,62,31
470,62,62,31
472,60,62,31
468,60,62,31
469,61,62,31
464,61,62,31
472,61,62,31
471,60,62,31
470,60,62,31
478,60,62,30
476,61,62,31
468,61,62,31
475,61,62,30
473,61,62,30
471,62,62,30
475,62,62,30
476,62,62,30
468,62,62,30
470,62,62,30
469,62,62,30
470,62,62,30
469,62,62,30
469,62,62,30
468,62,62,30
471,62,63,30
461,61,63,30
467,61,63,30
470,60,63,30
471,60,63,30
466,59,63,30
464,59,63,30
470,59,63,30
471,59,63,30
466,60,62,30
466,59,62,30
468,59,63,30
474,59,63,31
476,58,63,31
469,59,63,31
466,59,63,31
471,59,63,31
470,62,63,31
469,62,63,31
470,62,63,31
470,62,63,31
468,62,63,31
474,61,63,31
469,62,63,31
469,62,63,31
470,60,63,31
472,58,63,31
472,59,63,31
477,58,63,31
469,58,63,31
471,57,63,31
465,57,63,31
479,57,63,31
471,56,62,31
479,57,62,31
478,57,62,31
476,57,62,31
478,57,61,31
475,57,62,31
481,57,61,31
472,56,61,31
468,56,61,31
469,56,61,31
464,56,61,31
469,57,61,31
467,57,61,31
472,57,61,31
467,58,60,31
469,58,60,31
471,58,60,31
463,58,60,31
469,58,60,31
469,59,60,31
469,58,60,31
470,59,60,31
472,59,60,31
475,59,60,31
472,59,60,31
474,59,60,31
472,58,60,31
475,58,60,31
473,58,60,31
475,59,60,31
469,58,60,31
473,58,60,31
489,58,60,31
476,58,60,31
473,58,60,31
472,58,60,31
476,59,60,31
467,58,60,31
472,58,60,31
476,58,61,31
470,58,61,31
470,58,61,31
473,58,61,31
470,58,61,31
472,58,61,31
469,58,61,31
466,58,61,31
473,57,61,31
471,58,60,31
467,58,60,31
464,58,60,31
471,57,60,31
468,57,60,31
464,57,59,31
475,57,59,31
467,57,59,31
475,56,59,32
476,56,59,32
475,56,60,32
472,57,60,32
478,56,59,32
471,56,59,32
473,56,59,32
481,56,58,32
468,56,58,32
470,57,59,32
468,57,58,32
476,57,58,32
469,57,58,32
465,57,59,32
474,57,59,32
463,57,58,32
471,57,58,32
477,57,59,32
465,57,59,32
470,57,58,32
472,57,58,32
475,57,59,32
469,56,59,32
475,57,59,32
475,57,59,32
476,57,59,32
478,57,59,32
479,57,59,32
478,57,59,32
478,58,59,32
475,58,59,32
473,58,59,32
463,57,59,32
468,58,59,32
470,58,59,32
474,58,59,32
467,58,59,32
470,57,59,32
467,57,59,32
470,57,59,32
471,57,59,32
470,57,59,32
471,57,59,32
469,57,59,32
475,58,59,32
471,57,59,32
473,57,59,32
480,57,59,32
470,57,59,31
478,57,59,31
472,57,59,31
472,57,59,31
473,57,59,31
467,57,59,31
483,57,59,31
465,57,59,31
481,57,59,31
471,57,59,31
481,57,59,31
466,57,59,31
468,57,59,31
475,57,59,31
469,57,59,31
465,57,60,31
468,56,60,31
470,56,60,31
468,56,60,31
479,55,60,31
476,55,60,31
476,54,59,31
468,54,59,31
463,54,59,31
471,54,60,31
474,54,60,31
470,54,60,31
462,54,60,31
468,54,60,31
475,54,60,31
466,53,60,31
464,53,60,31
466,53,60,31
464,54,60,31
466,54,60,31
462,54,60,31
466,54,60,31
469,54,60,31
476,54,60,31
463,54,60,31
475,54,60,31
467,54,60,31
469,54,60,31
469,55,60,31
477,55,60,31
469,54,60,31
460,54,60,31
471,54,60,31
468,55,60,31
467,55,60,31
469,55,60,31
466,55,60,31
473,55,60,31
472,55,60,31
474,56,60,31
481,56,60,31
474,56,60,31
472,56,60,31
471,56,60,31
475,57,60,31
465,57,60,31
473,57,61,31
468,58,61,31
475,58,61,31
472,58,61,31
468,58,61,31
466,57,61,31
465,57,61,31
475,57,61,31
470,57,61,31
458,57,61,31
474,57,60,31
464,57,60,31
468,56,61,31
466,56,61,31
463,56,62,31
469,56,62,31
459,57,62,31
464,57,62,31
463,58,61,31
465,58,61,31
466,59,61,31
462,58,61,31
472,58,61,31
463,58,61,31
467,59,61,31
471,59,62,31
466,59,62,31
473,60,63,31
479,59,63,31
471,59,63,31
471,59,62,31
467,58,62,31
466,57,62,31
468,57,63,31
462,57,62,31
472,57,62,31
467,56,63,31
468,57,63,31
468,58,63,31
467,58,63,31
463,58,62,31
465,60,63,31
471,60,62,31
467,60,61,31
463,61,60,31
464,61,60,31
470,61,60,31
464,61,60,31
466,61,61,31
466,61,60,31
472,62,60,32
469,62,59,32
470,62,59,32
468,62,59,32
474,62,58,32
470,61,58,32
467,59,58,32
463,59,59,32
460,58,60,32
463,58,60,32
472,58,59,32
469,58,59,32
469,58,58,32
474,58,58,32
474,58,58,32
472,58,59,32
471,60,59,32
470,61,59,32
470,60,59,32
469,60,59,32
469,60,59,32
469,60,59,32
457,61,59,32
466,61,59,32
464,61,60,32
468,61,61,32
467,59,61,32
469,59,62,32
465,59,62,32
470,58,61,32
468,59,61,32
463,59,60,32
457,58,60,32
466,59,60,32
461,59,60,32
458,59,60,32
461,59,60,32
467,59,60,32
457,59,61,32
458,60,61,32
453,62,61,32
463,61,61,32
457,61,61,32
464,62,61,32
461,64,61,31
464,64,61,31
461,64,60,31
463,63,61,31
457,62,60,31
463,64,60,31
461,64,60,31
464,64,60,31
459,64,60,31
460,64,60,31
459,63,61,31
465,63,61,31
460,62,61,31
457,62,60,31
461,62,60,31
457,62,60,31
452,62,60,31
465,62,60,31
475,61,60,31
454,61,60,31
457,61,60,31
465,60,60,31
459,59,60,31
458,58,60,31
464,58,61,31
459,57,61,31
459,57,61,31
455,57,60,31
460,56,60,31
454,57,61,31
457,59,61,31
459,59,61,31
451,59,61,31
460,59,61,31
448,59,61,31
459,58,61,31
460,58,61,31
469,58,61,31
464,57,60,31
462,58,60,31
464,58,60,31
474,58,60,31
459,59,61,31
467,59,61,31
466,58,61,31
470,59,60,31
468,59,60,31
470,58,60,31
472,57,60,31
463,57,60,31
465,57,60,31
465,58,60,31
465,60,60,31
458,60,61,31
463,60,61,31
469,60,61,31
463,60,61,31
461,60,61,31
466,60,61,31
471,60,61,31
467,60,61,31
459,60,61,31
465,60,61,31
470,60,61,31
470,60,61,31
467,60,61,31
459,60,61,31
459,60,61,31
468,60,62,31
469,60,62,31
469,60,62,31
474,61,62,31
468,62,62,31
463,62,62,31
460,62,62,31
467,63,62,31
472,62,62,31
472,63,62,31
470,62,62,31
465,62,62,31
468,62,62,31
466,62,62,31
467,62,61,31
469,61,61,31
463,61,61,31
470,62,61,31
463,61,61,31
465,61,61,31
466,60,62,31
460,60,62,31
468,59,62,31
463,59,62,31
465,59,61,31
462,59,61,31
462,59,61,31
464,59,61,31
466,58,62,31
457,58,61,31
468,59,61,31
457,58,61,31
470,59,61,31
456,59,61,31
469,59,61,31
474,59,61,31
467,60,61,31
469,60,61,31
469,60,61,31
468,61,61,31
464,60,61,31
469,59,61,31
456,59,61,31
468,59,61,31
455,59,61,31
466,60,61,31
460,59,61,31
458,60,61,31
464,60,61,31
455,61,61,31
451,60,61,31
462,61,61,31
451,61,61,31
465,61,61,31
451,62,61,31
460,62,61,31
458,63,61,31
455,63,61,31
463,64,61,31
460,64,61,31
456,64,61,31
454,64,61,31
452,65,61,31
456,65,62,31
455,65,62,31
460,66,62,31
458,66,62,31
449,66,62,31
458,66,62,31
465,66,62,31
459,66,62,31
458,66,62,31
461,66,62,31
455,65,62,31
454,66,62,31
456,66,62,31
455,66,62,31
455,68,63,31
459,68,62,31
454,68,62,31
455,67,62,31
456,67,62,31
462,66,62,31
458,66,62,31
451,66,62,31
455,65,62,31
460,65,62,31
453,65,63,31
467,64,62,31
463,64,62,31
460,64,63,31
464,64,63,31
461,64,63,31
463,64,63,31
467,64,63,31
464,64,63,31
464,63,63,31
463,64,63,31
461,63,63,31
458,63,63,31
456,63,63,31
460,63,63,31
455,63,63,31
460,63,63,31
463,62,63,31
459,62,63,31
459,62,63,31
462,62,63,31
462,61,63,31
462,60,63,31
462,61,63,31
462,60,63,31
464,59,63,31
468,59,63,31
474,59,63,31
467,58,63,31
452,58,63,31
472,58,63,31
466,57,63,31
464,57,63,31
467,56,63,31
462,57,63,31
462,57,63,31
467,57,63,31
461,57,63,31
455,57,63,31
462,58,63,31
457,58,63,31
464,58,63,31
465,59,63,31
467,60,63,31
467,60,63,31
471,58,63,31
463,58,63,31
457,59,63,31
466,59,63,31
468,60,63,31
464,59,63,31
465,60,63,31
465,60,63,31
458,61,63,31
467,61,63,31
466,61,63,31
457,61,63,31
462,62,63,31
464,61,63,31
462,62,63,31
462,62,63,31
455,63,63,31
462,65,63,31
463,65,63,31
460,66,63,31
457,67,64,31
462,67,63,31
456,68,63,31
458,68,63,31
460,68,63,31
463,68,63,31
466,67,64,31
462,68,64,31
460,68,64,31
454,68,64,31
461,67,64,31
464,66,64,31
456,64,64,31
463,64,64,31
461,64,64,31
465,64,64,31
467,64,64,31
465,65,63,31
456,67,63,31
458,68,63,31
454,68,63,31
456,68,64,31
460,68,63,31
458,68,63,31
459,68,63,31
456,69,63,31
455,69,63,31
455,69,63,31
455,70,63,31
461,70,63,31
457,70,63,31
464,70,63,31
469,70,63,31
467,70,63,31
469,70,64,31
464,70,64,31
462,69,64,31
465,69,64,31
462,69,64,31
455,68,64,31
454,68,64,31
461,68,64,31
465,67,64,31
462,66,64,31
453,65,64,31
462,65,64,31
467,65,64,31
458,64,64,31
460,64,64,31
461,63,64,31
460,62,64,31
459,62,64,31
464,62,64,31
461,62,64,31
462,62,64,31
471,61,64,31
470,60,64,31
469,59,64,31
468,59,64,31
467,58,64,31
466,59,64,31
463,59,64,31
456,60,64,31
460,60,64,31
462,60,64,31
469,60,64,31
463,59,64,31
453,59,64,31
467,59,64,31
455,58,64,31
462,59,64,31
464,58,64,31
464,57,65,31
462,58,65,31
458,58,65,31
452,58,65,31
464,58,65,31
464,58,64,31
464,57,64,31
461,57,64,31
464,56,64,31
452,56,64,31
465,56,64,31
459,54,64,31
461,55,64,31
454,55,64,31
456,55,64,31
458,55,64,31
455,55,64,31
457,55,64,31
463,55,64,31
463,55,64,31
465,55,64,31
456,55,64,31
467,56,64,31
457,56,63,31
462,56,63,31
467,56,63,31
459,56,63,31
462,56,63,31
460,56,63,31
460,56,63,31
459,56,63,31
463,55,63,31
461,55,63,31
457,55,63,31
461,55,63,31
465,55,63,31
461,55,64,31
461,56,64,31
461,56,64,31
469,56,64,31
464,56,64,31
461,56,64,31
463,57,64,31
464,57,64,31
463,58,64,31
468,58,64,31
457,58,64,31
463,58,64,31
461,59,64,31
464,59,64,31
450,59,64,31
468,59,64,31
459,59,64,31
458,59,63,31
458,59,63,31
459,59,63,31
458,59,64,31
460,60,64,31
460,60,64,31
459,59,63,31
467,59,63,31
454,60,63,31
463,60,63,31
463,60,63,31
454,60,63,31
463,60,63,32
468,60,62,32
465,59,62,32
462,59,62,32
463,59,62,32
468,59,62,32
464,59,62,32
463,59,62,32
464,59,62,32
463,59,61,32
465,60,61,32
460,61,61,32
471,61,61,32
461,61,60,32
467,61,60,32
454,61,60,32
464,61,60,32
466,62,59,32
466,62,59,32
462,61,59,32
458,62,59,32
463,62,59,32
470,62,59,32
471,61,59,32
467,61,59,32
464,61,59,32
458,60,59,32
453,60,59,32
456,60,59,32
457,60,59,32
457,60,59,32
459,60,59,32
452,60,58,32
450,59,58,32
450,59,58,32
461,59,58,32
455,59,58,32
451,59,58,32
454,58,59,32
459,58,59,32
456,57,59,32
456,57,59,32
457,57,59,32
459,57,59,32
456,56,59,32
452,56,59,32
447,57,59,32
454,58,59,32
451,59,59,32
454,59,59,32
468,59,60,32
467,60,60,32
458,59,60,32
460,59,60,32
461,60,60,32
461,60,60,32
466,59,60,32
462,59,60,32
459,59,60,32
452,59,60,32
463,59,60,32
449,60,60,32
